#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      661.2   281.4   101.3   378.8   423.4   570.9   677.6   830.7   911.3   975.1  1035.3  1106.4  1291.5  2565.0  7426.3  98287.8   185000  1744816979205  1744816984407
read      689.6   287.9   109.4   409.8   450.9   602.6   692.9   844.5   940.1  1009.1  1075.8  1158.6  1295.0  1780.5  8115.7  94544.9   190000  1744816985911  1744816991117
read      703.9   298.0   118.1   426.7   471.8   613.8   688.8   830.6   954.7  1037.9  1108.1  1184.7  1326.7  2627.2  7517.3  92702.3   195000  1744816992622  1744816997823
read      652.0   270.6   109.4   384.9   425.5   565.4   663.6   815.3   896.0   960.1  1018.6  1089.2  1229.9  1914.3  7469.9  99807.2   200000  1744816999327  1744817004530
read      658.5   267.9   127.6   402.9   439.2   570.2   649.8   809.9   908.3   975.8  1036.4  1103.5  1239.9  1575.8  7454.4  98881.4   205000  1744817006034  1744817011240
read      667.2   280.0   118.1   409.4   446.8   578.7   651.6   798.8   918.1   991.1  1053.6  1124.6  1251.4  1776.7  7516.1  97664.2   210000  1744817012744  1744817017946
read      676.2   277.3   118.1   414.5   451.4   588.5   668.4   811.0   924.0   997.9  1062.7  1140.0  1267.4  1546.6  7481.2  96400.6   215000  1744817019450  1744817024655
read      694.3   296.9   109.4   427.6   468.0   602.5   676.4   812.5   949.0  1029.7  1094.1  1170.4  1289.2  3315.7  7515.5  93957.6   220000  1744817026158  1744817031359
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 79.67%,39.00%,100.00%
